location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,house_type,latitude,longitude,coordinates,buy_price,type,price tag
"241 Flinders Lane, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140482591,"301/241 Flinders Lane, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/4323a6cf7998af98f2b99e121110562761fe395b536fb4f501716a73b55ccf7e/image.jpg,Apartment,-37.8171895,144.9645279,"(144.9645279, -37.8171895)",850000,buy,"$820,000 - $880,000"
"68 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140238919,"106/68 La Trobe Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/9fca9e625d11d616863edf6a8d1bd1463a3aaddc57268c4c1c0288b0b4f4048d/image.jpg,Apartment,-37.80836015,144.9665562,"(144.96655620173067, -37.80836015)",511500,buy,"$498,000 - $525,000"
"81 A'Beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140238923,"5504/81 A'Beckett Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/dfc9ed2e6fc817c5b23455afe09b53ae8e1b3664082fbf0953cd180a588cb067/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",590000,buy,"$580,000 to $600,000"
"318 Little Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140238831,"607/318 Little Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/a8374771b590a6e70b687eee31e0dbf0b43a1bad4c173bd327ed7488897a2d4d/image.jpg,Apartment,-37.8109981,144.9628452,"(144.9628452, -37.8109981)",275000,buy,275000 
"222 Russell Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139748107,"Apt 1102/222 Russell Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/54bff07506afa612c4e92431381f79b56782e7dfdb3c6c437c062f9c66d23d1a/image.jpg,Apartment,-37.8113058,144.9678576,"(144.9678576, -37.8113058)",398000,buy,398000 
"31 Spring Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-unit-vic-melbourne-140462471,"1203/31 Spring Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/4087944ce550cd1a5cc8ac293b576eb17c76b6654274e181dea95753dc5a5eb6/image.jpg,Unit,-37.8145494,144.9741154,"(144.97411540000002, -37.814549400000004)",1400000,buy,"$1,350,000 to $1,450,000"
"33 Mackenzie Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139746259,"2405/33 Mackenzie Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/c97569e17dacaf43b852dde0e92c40cb7b1dfaf4f2ba7f60f57b2377188d64cd/image.jpg,Apartment,-37.807427,144.9671085,"(144.9671085, -37.807427)",425000,buy,"$410,000 - $440,000"
"455 Elizabeth Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140610171,"1102/455 Elizabeth Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/39d18a1d5e9aa240b133ffd7ec41da6faf9e49a9049cfb0d55d786a7ab55f68a/image.jpg,Apartment,-37.8103786,144.9613079,"(144.9613079, -37.8103786)",430000,buy,430000 
"135 A'beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139610411,"2606/135 A'beckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/151973a4d361af05ef425f5749d7cacc8886ce8b53a24bdad1d132982804d70c/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",377500,buy,"$370,000-$385,000"
"308 Exhibition Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140361047,"2301/308 Exhibition Street, Melbourne, Vic 3000",3,3,3,0,https://i2.au.reastatic.net/{size}/5f40371b871d9cbbe5a16c57f0761bd8f015e5190afe5e7459cfc5b8a0264abf/image.jpg,Apartment,-37.8081508,144.9686945,"(144.9686945, -37.8081508)",3810000,buy,3810000 
"228 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140608107,"2905/228 La Trobe Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/c51f1385f43e66dcca55cde87f2d326d4802d1909774e1fa6f616558cc4d5c1e/image.jpg,Apartment,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",427500,buy,"$420,000-$435,000"
