location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,latitude,longitude,coordinates,rent_price,type,house_type
"55 Victoria Harbour Promenade, Docklands, Vic 3008",https://www.realestate.com.au/property-apartment-vic-docklands-435170079,"91/55 Victoria Harbour Promenade, Docklands, Vic 3008",3,2,2,0,https://i2.au.reastatic.net/{size}/7ec788b6e1146139b7b233419cd11d2d479289bf59ee3c876cda3400d577efa9/image.jpg,-37.81963525,144.9412976,"(144.94129764483694, -37.819635250000005)",1150 ,rent,Apartment
"38 Kavanagh Street, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-435358895,"185/38 Kavanagh Street, Southbank, Vic 3006",2,1,1,0,https://i2.au.reastatic.net/{size}/8838cf904aa844ab93daa00f746f75d942bd1f7a73265f60b7970306a6e50de2/image.jpg,-37.8238528,144.9642021,"(144.9642021, -37.8238528)",540 ,rent,Apartment
"888 Collins Street, Docklands, Vic 3008",https://www.realestate.com.au/property-apartment-vic-docklands-430103410,"404W/888 Collins Street, Docklands, Vic 3008",1,1,0,1,https://i2.au.reastatic.net/{size}/3840987d25ba7348240b8978deac408d322730b3395c35c0223d656e8dbae82f/image.jpg,-37.8204349,144.9422792,"(144.9422792, -37.8204349)",475 ,rent,Apartment
"539 St Kilda Road, Melbourne, Vic 3004",https://www.realestate.com.au/property-apartment-vic-melbourne-435358875,"213/539 St Kilda Road, Melbourne, Vic 3004",2,2,1,0,https://i2.au.reastatic.net/{size}/d45ff418bd8c82b326941fe4c3afb8b05a1e0241a7b450e0597cc91b6274c6a3/image.jpg,-37.84564705,144.9803033,"(144.98030333034356, -37.84564705)",550 ,rent,Apartment
"295-297 Clarendon Street, South Melbourne, Vic 3205",https://www.realestate.com.au/property-apartment-vic-south+melbourne-435358859,"402/295-297 Clarendon Street, South Melbourne, Vic 3205",2,1,1,0,https://i2.au.reastatic.net/{size}/5a6cec31015720d2c162be277d00c66a14f78a1a9854ba7daff97d66ca24868d/image.jpg,-37.8328763,144.9605278,"(144.9605278, -37.8328763)",675 ,rent,Apartment
"117-121 Bouverie Street, Carlton, Vic 3053",https://www.realestate.com.au/property-apartment-vic-carlton-435358827,"4/117-121 Bouverie Street, Carlton, Vic 3053",1,1,0,0,https://i2.au.reastatic.net/{size}/169f54accabf5e9b27a292cc8dfe55af3c2aef763eba97ad627d1a8c21eb2bac/image.jpg,-37.80377295,144.9615795,"(144.96157945, -37.803772949999995)",260 ,rent,Apartment
"5-13 Stawell Street, North Melbourne, Vic 3051",https://www.realestate.com.au/property-apartment-vic-north+melbourne-435358691,"104/5-13 Stawell Street, North Melbourne, Vic 3051",1,1,1,0,https://i2.au.reastatic.net/{size}/363f317ad76c1c98aa10f4a151307f77b1bcf2fd6bd328525d62b5a963b6f17f/image.jpg,-37.8043153,144.9426647,"(144.9426647, -37.8043153)",350 ,rent,Apartment
"118 Kavanagh Street, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-435358287,"911/118 Kavanagh Street, Southbank, Vic 3006",1,1,0,0,https://i2.au.reastatic.net/{size}/444b11194e2063bf8811916396300bdff8f69df504483ba5f038fbc9e914176b/image.jpg,-37.8254696,144.9620891,"(144.9620891019552, -37.825469600000005)",440 ,rent,Apartment
"152 Sturt Street, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-435358223,"306/152 Sturt Street, Southbank, Vic 3006",1,1,0,0,https://i2.au.reastatic.net/{size}/bddc3a32c36c2edf1f7153c7a41d351f4a17825264cdf1d0961aa6029cccf1ef/image.jpg,-37.8254083,144.9662497,"(144.9662497, -37.8254083)",420 ,rent,Apartment
"39 Coventry St, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-435358219,"1705/39 Coventry St, Southbank, Vic 3006",2,2,1,0,https://i2.au.reastatic.net/{size}/96acbb11a1d030320faed4328140d19e7b2f5977793faf59119aa34dd3904ef1/image.jpg,-37.8295652,144.9693905,"(144.96939049900152, -37.8295652)",630 ,rent,Apartment
"392 Spencer Street, West Melbourne, Vic 3003",https://www.realestate.com.au/property-apartment-vic-west+melbourne-435358195,"204/392 Spencer Street, West Melbourne, Vic 3003",2,1,0,0,https://i2.au.reastatic.net/{size}/925a2324fba974dfcb50f80a708b5c78248b04b0e12ecf775c9e7c5a88151c86/image.jpg,-37.8076239,144.9476794,"(144.9476794, -37.8076239)",500 ,rent,Apartment
"488 Swanston Street, Carlton, Vic 3053",https://www.realestate.com.au/property-apartment-vic-carlton-435169851,"3118/488 Swanston Street, Carlton, Vic 3053",1,1,0,0,https://i2.au.reastatic.net/{size}/019d623d5bd3dd57dce04aaf5343cd1c695d9d945ab2a3bffc8c6f55d5fa4021/image.jpg,-37.80541759,144.9633044,"(144.96330437142856, -37.80541758571429)",290 ,rent,Apartment
"269 Glenlyon Road, Fitzroy North, Vic 3068",https://www.realestate.com.au/property-house-vic-fitzroy+north-435169275,"269 Glenlyon Road, Fitzroy North, Vic 3068",4,1,0,0,https://i2.au.reastatic.net/{size}/90de49ad3df804ae7be420db54ccf8b5ca62646cebffcdaf3bf9bce169dd5878/image.jpg,-37.7736012,144.9818744,"(144.98187435, -37.7736012)",850 ,rent,House
"5 Beavers Road, Northcote, Vic 3070",https://www.realestate.com.au/property-apartment-vic-northcote-435169123,"212/5 Beavers Road, Northcote, Vic 3070",2,2,1,0,https://i2.au.reastatic.net/{size}/3cf49da386dfadea7a7387315a9c59324a3bc8565b09ef5d1ccf2a460c844af8/image.jpg,-37.76680134,144.9984482,"(144.9984482470588, -37.76680134117647)",500 ,rent,Apartment
"70 Dorcas Street, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-435169007,"306/70 Dorcas Street, Southbank, Vic 3006",2,2,1,0,https://i2.au.reastatic.net/{size}/f70f1ee2e238396895a6952b6b45a992d3e92dac701a04985ebd168fb3ea41ef/image.jpg,-37.8310388,144.9673607,"(144.9673607, -37.8310388)",580 ,rent,Apartment
"77 Fraser Street, Richmond, Vic 3121",https://www.realestate.com.au/property-apartment-vic-richmond-434665595,"1/77 Fraser Street, Richmond, Vic 3121",2,1,0,0,https://i2.au.reastatic.net/{size}/4363d37e8bebfef671f64bf5df6ad431c381a960e984a61f6121459c750c3d87/image.jpg,-37.82077,145.0062281,"(145.0062281, -37.82077)",430 ,rent,Apartment
"211A Brunswick St, Fitzroy, Vic 3065",https://www.realestate.com.au/property-apartment-vic-fitzroy-435268407,"211A Brunswick St, Fitzroy, Vic 3065",3,2,1,0,https://i2.au.reastatic.net/{size}/da0362549eb90045da225c4f9490f4cc1dba9b113ff3b77b9867fdb1fa409351/image.jpg,-37.8023274,144.9777958,"(144.9777958, -37.8023274)",900 ,rent,Apartment
"10 Wominjeka Walk, West Melbourne, Vic 3003",https://www.realestate.com.au/property-apartment-vic-west+melbourne-435268251,"904/10 Wominjeka Walk, West Melbourne, Vic 3003",1,1,0,1,https://i2.au.reastatic.net/{size}/3d757001fb3a2cb97cd83cbeb1f0bf0acbed83210be88cf93a841ab89c0f11c9/image.jpg,-37.8097885,144.9486298,"(144.9486298, -37.8097885)",475 ,rent,Apartment
"10 Wominjeka Walk, West Melbourne, Vic 3003",https://www.realestate.com.au/property-apartment-vic-west+melbourne-435268059,"501/10 Wominjeka Walk, West Melbourne, Vic 3003",1,1,0,0,https://i2.au.reastatic.net/{size}/47ddaee044477e21fa78f03a8427583a68e354453da9b0d46d12904456f5c3ff/image.jpg,-37.8097885,144.9486298,"(144.9486298, -37.8097885)",450 ,rent,Apartment
"8 Kavanagh Street, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-435357055,"2704/8 Kavanagh Street, Southbank, Vic 3006",2,2,1,0,https://i2.au.reastatic.net/{size}/85a9874ac51c578edc43960e0d26337862f45dd566ca309c6c8db10ef0bd98e7/image.jpg,-37.8230438,144.9652507,"(144.9652507, -37.8230438)",1100 ,rent,Apartment
"107 Cambridge Street, Collingwood, Vic 3066",https://www.realestate.com.au/property-apartment-vic-collingwood-425986938,"121/107 Cambridge Street, Collingwood, Vic 3066",1,1,1,1,https://i2.au.reastatic.net/{size}/dc0fd967efdfd9c12c5c9c14254fa1e0e158269fbcb89a3d97ab3c60586bbd62/image.jpg,-37.8044502,144.9853714,"(144.9853714, -37.8044502)",500 ,rent,Apartment
"52 Baker Street, Richmond, Vic 3121",https://www.realestate.com.au/property-apartment-vic-richmond-435267779,"3/52 Baker Street, Richmond, Vic 3121",2,1,1,0,https://i2.au.reastatic.net/{size}/c78dba65dfa9fa3ff6a41c3d0da4f826d410838432ebf2caf08f1371da70fdf4/image.jpg,-37.811707,145.0006402,"(145.0006402, -37.811707)",400 ,rent,Apartment
"151 City Road, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-435356635,"3915/151 City Road, Southbank, Vic 3006",1,1,0,0,https://i2.au.reastatic.net/{size}/bd584822c345c27e32e54d9cd9d345f52b7e6d9367b83926c471470024f62db7/image.jpg,-37.823816,144.9627077,"(144.9627077, -37.823816)",430 ,rent,Apartment
"8 Kavanagh Street, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-435356627,"2703/8 Kavanagh Street, Southbank, Vic 3006",3,2,2,0,https://i2.au.reastatic.net/{size}/ab35660e6587393a339dfca3ea5e91d4164383005deac04f882199ff0d9b3e59/image.jpg,-37.8230438,144.9652507,"(144.9652507, -37.8230438)",1500 ,rent,Apartment
"22 Agnes Street, East Melbourne, Vic 3002",https://www.realestate.com.au/property-apartment-vic-east+melbourne-435356587,"13/22 Agnes Street, East Melbourne, Vic 3002",1,1,1,0,https://i2.au.reastatic.net/{size}/835cbac479ce93d9db93d0fcd60dda5bc6c1e317c269ecd983edd4d4308c9871/image.jpg,-37.817493,144.9799952,"(144.9799952, -37.817493)",495 ,rent,Apartment
"12 Valiant Street, Abbotsford, Vic 3067",https://www.realestate.com.au/property-townhouse-vic-abbotsford-435267331,"12 Valiant Street, Abbotsford, Vic 3067",3,2,2,0,https://i2.au.reastatic.net/{size}/b833af1fe702940aac56cd4fd2d56c98fb46274ccb9a6940006d3b666e914a49/image.jpg,-37.8010408,144.9982112,"(144.9982112, -37.8010408)",975 ,rent,Townhouse
"8-12 Pasley Street, South Yarra, Vic 3141",https://www.realestate.com.au/property-apartment-vic-south+yarra-435356363,"4/8-12 Pasley Street, South Yarra, Vic 3141",1,1,1,0,https://i2.au.reastatic.net/{size}/9107e96dd362d268f54560442269497fd516371fbdab8851d410e50c383d400b/image.jpg,-37.842914,144.9844807,"(144.9844807, -37.842914)",400 ,rent,Apartment
"29 James Street, Richmond, Vic 3121",https://www.realestate.com.au/property-townhouse-vic-richmond-435167311,"29 James Street, Richmond, Vic 3121",2,1,1,0,https://i2.au.reastatic.net/{size}/d629101eb20c9705754b4b3f2535acecd122d53e87fa8b6d602a6ef88e294678/image.jpg,-37.8275446,145.0000057,"(145.0000057, -37.8275446)",625 ,rent,Townhouse
"60 Kavanagh Street, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-435356279,"3004/60 Kavanagh Street, Southbank, Vic 3006",2,2,1,1,https://i2.au.reastatic.net/{size}/69821117aabbc7f7c62eb9e4f41bee8e71df221e961c512cc3ef4a666fbebab8/image.jpg,-37.8230438,144.9652507,"(144.9652507, -37.8230438)",650 ,rent,Apartment
"93 Chomley Street, Prahran, Vic 3181",https://www.realestate.com.au/property-house-vic-prahran-435167091,"93 Chomley Street, Prahran, Vic 3181",2,1,0,0,https://i2.au.reastatic.net/{size}/59b9755240efa6e8a9b233442e1918540dcb17886117f637a3dfa93a53a2c884/image.jpg,-37.8565497,145.005771,"(145.005771, -37.8565497)",670 ,rent,House
"42 Porter Street, Prahran, Vic 3181",https://www.realestate.com.au/property-studio-vic-prahran-435356055,"113/42 Porter Street, Prahran, Vic 3181",1,1,0,0,https://i2.au.reastatic.net/{size}/659590cfc3faf69a648ac530b4eb3a5af9d25c8600a671bc20e580a9b67c106f/image.jpg,-37.8491398,144.9901116,"(144.9901116, -37.8491398)",270 ,rent,Studio
"8 McCrae Street, Docklands, Vic 3008",https://www.realestate.com.au/property-apartment-vic-docklands-435356007,"1109/8 McCrae Street, Docklands, Vic 3008",1,1,0,0,https://i2.au.reastatic.net/{size}/64332fdf7b0ed1a9bcf2d4b8b9135f0d246996cdb3cee4bd00af97fce9179b12/image.jpg,-37.8215492,144.9507994,"(144.95079937477038, -37.8215492)",500 ,rent,Apartment
